[INFO ] [2023-01-04 14:42:59,198] TC_01_Loggin - Step 01: Click to Register
[INFO ] [2023-01-04 14:43:00,388] TC_01_Loggin - Step 02: Click to Login
[INFO ] [2023-01-04 14:43:01,534] TC_01_Loggin - Step 03: Click to Button Register
[INFO ] [2023-01-04 14:43:02,664] TC_01_Loggin - Step 04: Sendkey to UserName = estg3helloo
[INFO ] [2023-01-04 14:43:02,873] TC_01_Loggin - Step 05: Sendkey to PassWord = Abcd1234
[INFO ] [2023-01-04 14:43:03,063] TC_01_Loggin - Step 06: Sendkey to PhoneNumber = 0777888aaa
[INFO ] [2023-01-04 14:43:03,263] TC_01_Loggin - Step 07: Click to Button Register2
[INFO ] [2023-01-04 14:43:04,352] TC_01_Loggin - Step 08: Clear text to UserName
[INFO ] [2023-01-04 14:43:04,494] TC_01_Loggin - Step 09: Clear text to Password
[INFO ] [2023-01-04 14:43:04,659] TC_01_Loggin - Step 010: Clear text to PhoneNumber
[INFO ] [2023-01-04 14:43:04,826] TC_01_Loggin - Step 11: Check Message 'Vui lòng nhập tên đăng nhập'
[INFO ] [2023-01-04 14:43:04,857]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:04,859] TC_01_Loggin - Step 12: Check Message 'Vui lòng nhập mật khẩu'
[INFO ] [2023-01-04 14:43:04,889]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:04,889] TC_01_Loggin - Step 13: Check Message 'Vui lòng nhập số điện thoại'
[INFO ] [2023-01-04 14:43:04,923]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:04,923] TC_01_Loggin - Step 14: Sendkey to UserName = estg3
[INFO ] [2023-01-04 14:43:05,109] TC_01_Loggin - Step 15: Sendkey to PassWord = Abcd12
[INFO ] [2023-01-04 14:43:05,266] TC_01_Loggin - Step 16: Sendkey to PhoneNumber = 077788899
[INFO ] [2023-01-04 14:43:05,428] TC_01_Loggin - Step 17: Check Message 'Vui lòng không nhập ít hơn 6 ký tự'
[INFO ] [2023-01-04 14:43:05,459]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:05,459] TC_01_Loggin - Step 18: Check Message 'Vui lòng không nhập ít hơn 8 ký tự'
[INFO ] [2023-01-04 14:43:05,490]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:05,490] TC_01_Loggin - Step 19: Check Message 'Vui lòng không nhập ít hơn 10 chữ số'
[INFO ] [2023-01-04 14:43:05,523]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:05,523] TC_01_Loggin - Step 20: Clear text to UserName
[INFO ] [2023-01-04 14:43:05,678] TC_01_Loggin - Step 21: Clear text to Password
[INFO ] [2023-01-04 14:43:05,837] TC_01_Loggin - Step 22: Clear text to PhoneNumber
[INFO ] [2023-01-04 14:43:05,991] TC_01_Loggin - Step 23: Sendkey to UserName = estg3@
[INFO ] [2023-01-04 14:43:06,157] TC_01_Loggin - Step 24: Sendkey to PassWord = abcd1234
[INFO ] [2023-01-04 14:43:06,333] TC_01_Loggin - Step 25: Sendkey to PhoneNumber = 7778889990
[INFO ] [2023-01-04 14:43:06,496] TC_01_Loggin - Step 26: Check Message 'Tên đăng nhập không chứa các ký tự đặc biệt'
[INFO ] [2023-01-04 14:43:06,543]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:06,544] TC_01_Loggin - Step 27: Check Message 'Mật khẩu phải tối thiểu 8 ký tự, có chứa chữ VIẾT HOA và chữ số.'
[INFO ] [2023-01-04 14:43:06,561]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:06,562] TC_01_Loggin - Step 28: Check Message 'Số điện thoại phải bắt đầu với số 0'
[INFO ] [2023-01-04 14:43:06,590]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:06,590] TC_01_Loggin - Step 29: Clear text to UserName
[INFO ] [2023-01-04 14:43:06,752] TC_01_Loggin - Step 30: Clear text to Password
[INFO ] [2023-01-04 14:43:06,878] TC_01_Loggin - Step 31: Clear text to PhoneNumber
[INFO ] [2023-01-04 14:43:07,188] TC_01_Loggin - Step 32: Sendkey to UserName = estg36834
[INFO ] [2023-01-04 14:43:07,362] TC_01_Loggin - Step 33: Sendkey to PassWord = Abc9417097
[INFO ] [2023-01-04 14:43:07,511] TC_01_Loggin - Step 34: Sendkey to PhoneNumber = 0909667696
[INFO ] [2023-01-04 14:43:07,511] TC_01_Loggin - Step 35: Check button Register Enable
[INFO ] [2023-01-04 14:43:07,525]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:07,525] TC_01_Loggin - Step 36: Click to Button Register
[INFO ] [2023-01-04 14:43:08,609] TC_01_Loggin - Step 37: Sendkey to DisplayName = estg36834
[INFO ] [2023-01-04 14:43:09,805] TC_01_Loggin - Step 38: Click to button Confirm
[INFO ] [2023-01-04 14:43:10,894] TC_01_Loggin - Step 39: Check Message 'Tên hiển thị không trùng với tên đăng nhập.'
[INFO ] [2023-01-04 14:43:10,931]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-01-04 14:43:11,016] TC_02_Check_Logout - Step 01: Click to Avatar Account
